peer,task,date
class,C2_SimpleBashUtils,2022-11-10
class,C3_Stringplus,2022-11-10
class,C4_Math,2022-11-10
class,C5_Decimal,2022-11-10
class,C6_Matrix,2022-11-10
class,C7_SmartCalc_v1,2022-11-10
class,C8_3DViewer_v1,2022-11-10
class,CPP1_s21_matrix,2022-11-10
class,CPP2_s21_containers,2022-11-10
class,CPP3_SmartCalc_v2,2022-11-10
class,CPP4_3DViewer_v2,2022-11-10
class,CPP4_3DViewer_v2,2022-11-10
ultra,C2_SimpleBashUtils,2022-11-10
ultra,C3_Stringplus,2022-11-10
ultra,C4_Math,2022-11-10
ultra,C5_Decimal,2022-11-15
ultra,C6_Matrix,2022-11-15
ultra,C7_SmartCalc_v1,2022-11-15
ultra,C8_3DViewer_v1,2022-11-15
ultra,CPP1_s21_matrix,2022-11-15
ultra,CPP2_s21_containers,2022-11-15
ultra,CPP3_SmartCalc_v2,2022-11-15
ultra,CPP4_3DViewer_v2,2022-11-15
ultra,C8_3DViewer_v1,2022-11-15
adequate,C2_SimpleBashUtils,2022-11-15
adequate,C3_Stringplus,2022-11-15
adequate,C4_Math,2022-11-15
adequate,C5_Decimal,2022-11-15
adequate,C6_Matrix,2022-11-15
adequate,C7_SmartCalc_v1,2022-11-15
adequate,C8_3DViewer_v1,2022-11-21
adequate,CPP1_s21_matrix,2022-11-21
adequate,CPP2_s21_containers,2022-11-21
adequate,CPP3_SmartCalc_v2,2022-11-21
adequate,CPP4_3DViewer_v2,2022-11-21
adequate,D01_Linux,2022-11-21
adequate,C2_SimpleBashUtils,2022-11-21
adequate,C2_SimpleBashUtils,2022-11-21
adequate,C3_Stringplus,2022-11-21
heel,C2_SimpleBashUtils,2022-11-21
heel,C3_Stringplus,2022-11-21
heel,C4_Math,2022-11-21
heel,C5_Decimal,2022-11-21
heel,C6_Matrix,2022-11-21
heel,C7_SmartCalc_v1,2022-11-21
heel,C8_3DViewer_v1,2022-11-21
heel,CPP1_s21_matrix,2022-11-21
heel,CPP2_s21_containers,2022-11-21
heel,D01_Linux,2022-11-21
heel,C4_Math,2022-11-21
heel,C5_Decimal,2022-11-30
heel,C6_Matrix,2022-11-30
transom,C2_SimpleBashUtils,2022-11-30
transom,C3_Stringplus,2022-11-30
transom,C4_Math,2022-11-30
transom,C5_Decimal,2022-11-30
transom,C6_Matrix,2022-11-30
transom,C7_SmartCalc_v1,2022-11-30
transom,C8_3DViewer_v1,2022-11-30
transom,C8_3DViewer_v1,2022-11-30
transom,C8_3DViewer_v1,2022-11-30
transom,C8_3DViewer_v1,2022-11-30
jersey,C2_SimpleBashUtils,2022-11-30
jersey,C3_Stringplus,2022-11-30
jersey,C4_Math,2022-11-30
jersey,C5_Decimal,2022-11-30
jersey,C6_Matrix,2022-11-30
jersey,C7_SmartCalc_v1,2022-11-30
jersey,C8_3DViewer_v1,2022-11-30
gainful,C2_SimpleBashUtils,2022-11-30
gainful,C3_Stringplus,2022-11-30
gainful,C4_Math,2022-11-30
heel,CPP3_SmartCalc_v2,2022-12-02
adequate,CPP7_MLP,2022-12-02
ultra,CPP7_MLP,2022-12-02
class,A1_Maze,2022-12-02
gainful,D01_Linux,2022-12-02
adequate,D02_Linux_Nexwork,2022-12-02
jersey,SQL1_Pool,2022-12-02
transom,SQL1_Pool,2022-12-02
heel,SQL1_Pool,2022-12-02
jersey,SQL1_Pool,2022-12-02
transom,SQL1_Pool,2022-12-02
heel,SQL1_Pool,2022-12-02
adequate,SQL1_Pool,2022-12-02
ultra,SQL1_Pool,2022-12-02
class,SQL1_Pool,2022-12-02
adequate,CPP7_MLP,2022-12-02
gainful,C5_Decimal,2022-12-02
ornate,C2_SimpleBashUtils,2022-12-02
transom,CPP1_s21_matrix,2022-12-02
